tv,label,link,gold_any,fired,bar,wt2_at_confirm,wt2_now,rsi,close,last_bar
COINBASE:ASTERUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AASTERUSD,False,False,,,-49.51472129927242,43.86165178347062,0.7476,2026-09-09 18:00
COINBASE:AAVEUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AAAVEUSD,False,False,,,-14.047715815680382,41.78971665966424,127.96,2026-09-09 18:00
COINBASE:DOTUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ADOTUSD,False,False,,,-61.949562267626135,38.895621442224915,1.1227,2026-09-09 18:00
COINBASE:PUMPUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3APUMPUSD,False,False,,,68.38020755531444,63.243556633362175,0.004712,2026-09-09 18:00
COINBASE:ONDOUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AONDOUSD,False,False,,,-42.76040825450673,41.012056116445734,0.3696,2026-09-09 18:00
COINBASE:WLFIUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AWLFIUSD,False,False,,,-56.453890349725846,47.41353510560918,0.05578,2026-09-09 18:00
COINBASE:MORPHOUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AMORPHOUSD,False,False,,,-13.982798771779011,44.061120221744346,2.3424,2026-09-09 18:00
COINBASE:ICPUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AICPUSD,False,False,,,-37.216035713022755,47.79517444495983,2.8813,2026-09-09 18:00
COINBASE:WLDUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AWLDUSD,False,False,,,-71.39700081812823,34.59581230960944,0.4333,2026-09-09 18:00
COINBASE:ENAUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AENAUSD,False,False,,,-45.237707877923945,35.86178573274617,0.1565,2026-09-09 18:00
COINBASE:PEPEUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3APEPEUSD,False,False,,,-35.16610572586916,41.48316186341947,3.59e-06,2026-09-09 18:00
COINBASE:SKYUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ASKYUSD,False,False,,,-73.07518381397715,22.943753075670983,0.06365,2026-09-09 18:00
COINBASE:ETCUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AETCUSD,False,False,,,-54.55540334602509,37.60466439824284,8.114,2026-09-09 18:00
COINBASE:VVVUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AVVVUSD,False,False,,,-15.974365093991386,49.172830150631846,24.3964,2026-09-09 18:00
COINBASE:POLUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3APOLUSD,False,False,,,-14.136748993778136,47.774341036337916,0.0964,2026-09-09 18:00
COINBASE:ARBUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AARBUSD,False,False,,,-74.42792867056859,31.91560848417339,0.15352,2026-09-09 18:00
COINBASE:ATOMUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AATOMUSD,False,False,,,11.595987493112284,51.743193606028086,1.8702,2026-09-09 18:00
COINBASE:QNTUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AQNTUSD,False,False,,,-34.76177482116179,42.6510285468258,66.83,2026-09-09 18:00
COINBASE:ALGOUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AALGOUSD,False,False,,,4.7900011003912795,61.434620982534994,0.10178,2026-09-09 18:00
COINBASE:DASHUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ADASHUSD,False,False,,,-0.07095579900415465,50.04242658328072,64.01,2026-09-09 18:00
COINBASE:RENDERUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ARENDERUSD,False,False,,,26.759895861813206,59.75913912172135,1.5468,2026-09-09 18:00
COINBASE:CAKEUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ACAKEUSD,False,False,,,-32.5525529514838,48.37824440358625,2.276,2026-09-09 18:00
COINBASE:FILUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AFILUSD,False,False,,,13.899625880344649,52.26778023014789,0.8458,2026-09-09 18:00
COINBASE:VETUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AVETUSD,False,False,,,-55.20334230573496,47.3615627602652,0.007701,2026-09-09 18:00
COINBASE:INJUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AINJUSD,False,False,,,-59.520769969675264,46.747244206714804,6.197,2026-09-09 18:00
