tv,err,link,dot_last2,dot_bar,wt2_trough,wt2_now,close,zone_low,zone_top,pct_of_range,wk_wt2,wk_wt1,range_pct,med_price,likely_pref,in_zone,pass_4h,pass_wk,flag,bucket
NYSE:ABEV,,https://www.tradingview.com/chart/?symbol=NYSE%3AABEV,False,,26.808582612276,26.808582612276,3.0250000953674316,2.7249999046325684,2.8901999158859253,0.4285716718556764,-30.28327688151119,-20.022131104318984,0.22913258015956328,3.055000066757202,False,False,False,False,False,
NASDAQ:ABNB,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AABNB,False,,-76.98928302670619,-55.773997982592164,168.34500122070312,122.81999969482422,138.78775875854492,0.6728496038318822,73.3913261499731,61.38095656067489,0.47965402809971064,141.05999755859375,False,False,False,False,False,
NYSE:ABT,,https://www.tradingview.com/chart/?symbol=NYSE%3AABT,False,,-74.47467328343681,-63.13329159570677,102.05000305175781,82.52999877929688,90.58585928344726,0.5718471671558106,42.05970851294038,30.06656854664626,0.34039691415789836,100.27999877929688,False,False,False,False,False,
TSX:ABX,,https://www.tradingview.com/chart/?symbol=TSX%3AABX,True,2026-09-15 13:30,-63.844731222392426,-63.844731222392426,59.33000183105469,48.90999984741211,53.31375981140137,0.5584138300562576,26.528313203953104,23.99663528054466,0.3282899330985053,56.84000015258789,False,False,True,False,False,
NASDAQ:ACGL,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AACGL,False,,-51.87400902585238,-15.105478617396466,97.0,87.62000274658203,92.07568209838867,0.49682196069810586,3.518267907152899,-7.505145638150558,0.1952228045925942,96.70999908447266,False,False,False,False,False,
NYSE:ACN,,https://www.tradingview.com/chart/?symbol=NYSE%3AACN,False,,-42.68001009798297,25.619199418577086,193.42999267578125,120.76000213623047,143.0006416320801,0.771116215904422,26.431179589893024,31.27669359379695,0.5285473710082499,178.3000030517578,False,False,False,False,False,
NASDAQ:ADBE,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AADBE,False,,-60.16355974956473,-22.30928348167806,257.7699890136719,192.34010314941406,216.03683880615233,0.6516278565809123,34.88077604007534,29.44468690396367,0.40820317758231445,245.98019409179688,False,False,False,False,False,
NASDAQ:ADI,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AADI,False,,8.727993351816234,10.47379043392331,361.4700012207031,301.7051086425781,335.66430444335936,0.4153371219736899,-30.75116103716806,-33.57931057498481,0.3783471842304387,380.32501220703125,False,False,False,False,False,
NYSE:ADM,,https://www.tradingview.com/chart/?symbol=NYSE%3AADM,False,,49.388495659980286,49.388495659980286,86.5999984741211,66.0250015258789,71.05298159790038,0.9657355857086635,51.87995592825917,61.37180159763516,0.2715396450902084,78.45999908447266,False,False,False,False,False,
NASDAQ:ADP,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AADP,False,,-66.24443346263868,-10.734258184828848,276.5299987792969,188.75,212.04792028808595,0.8891815001405008,64.18335265531523,59.04701226543911,0.4408520718510255,223.92999267578125,False,False,False,False,False,
NASDAQ:ADSK,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AADSK,False,,-64.93996755694069,-9.403854193316187,226.49000549316406,186.47500610351562,206.32850610351562,0.4756612111696694,10.099199580953451,1.3936450622554544,0.35497277543388456,236.99000549316406,False,False,False,False,False,
NYSE:AEE,,https://www.tradingview.com/chart/?symbol=NYSE%3AAEE,False,,-74.84990403938663,-74.84990403938663,103.04000091552734,102.93000030517578,106.12544052124024,0.008124121337792264,-39.67972760392232,-46.13371682189972,0.12341628865662502,109.70999908447266,False,True,False,False,False,
NYSE:AEG,,https://www.tradingview.com/chart/?symbol=NYSE%3AAEG,True,2026-09-15 13:30,-56.21669864535054,-53.65830887815951,9.069999694824219,6.784999847412109,7.435179874420166,0.8294009990906344,53.55861858666441,49.433867917576734,0.3254577749297109,8.46500015258789,False,False,False,False,False,
NASDAQ:AEIS,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AAEIS,False,,-38.1488795859571,-38.1488795859571,250.74000549316406,245.3350067138672,279.74970599365236,0.03706496754610101,-41.37066395325008,-48.396289992484746,0.45427639672309067,321.0050048828125,False,True,False,False,False,
TSX:AEM,,https://www.tradingview.com/chart/?symbol=TSX%3AAEM,False,,-44.44951559276188,-44.44951559276188,273.9599914550781,191.6999969482422,219.79343536376953,0.6910282186349767,24.750624870127016,26.319310343633088,0.47075570682463186,252.8699951171875,False,False,False,False,False,
NYSE:AEM,,https://www.tradingview.com/chart/?symbol=NYSE%3AAEM,False,,-47.900312096196096,-47.900312096196096,196.82000732421875,136.36000061035156,158.20888104248047,0.6530568753303557,24.26392474921627,25.815306115330785,0.5039738887809523,183.6999969482422,False,False,False,False,False,
NASDAQ:AEP,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AAEP,False,,-46.823529906002555,-46.823529906002555,120.62000274658203,120.62000274658203,124.88924368286133,0.0,-39.42990397642393,-42.77578600834478,0.13885480608524448,130.27999877929688,False,True,False,False,False,
NYSE:AER,,https://www.tradingview.com/chart/?symbol=NYSE%3AAER,False,,-76.44886130022347,-73.57044769559103,138.3000030517578,131.7100067138672,137.44008642578126,0.2714166667714085,-0.27862954967366704,-18.311361865757014,0.16792888371438705,144.5850067138672,False,False,False,False,False,
NYSE:AFL,,https://www.tradingview.com/chart/?symbol=NYSE%3AAFL,False,,-46.02625229663757,5.204353146622993,117.55500030517578,106.19999694824219,111.71767810058594,0.4856715562656308,3.417649524229945,-5.690908188422354,0.20085914584472309,116.4000015258789,False,False,False,False,False,
NASDAQ:AFRM,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AAFRM,False,,-61.12506048283535,-0.5797246685664753,72.08999633789062,42.540000915527344,52.77177990722656,0.681582247362399,13.177863056968057,3.982567093883273,0.6183853280574327,70.11000061035156,False,False,False,False,False,
TSX:AGI,,https://www.tradingview.com/chart/?symbol=TSX%3AAGI,False,,-44.30142087367013,-44.30142087367013,48.95000076293945,39.0099983215332,46.233959365844726,0.3247305130499142,5.847951193447163,8.415227485472387,0.5813865819168719,52.650001525878906,False,False,False,False,False,
NYSE:AGI,,https://www.tradingview.com/chart/?symbol=NYSE%3AAGI,False,,-47.51088471082312,-47.51088471082312,35.18000030517578,27.829999923706055,33.376000373840334,0.3127659482942988,4.267924165743035,6.822241302784323,0.6206259306918953,37.8650016784668,False,False,False,False,False,
NASDAQ:AGNC,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AAGNC,False,,-80.89454644719059,-78.37889492807743,9.958399772644043,9.694999694824219,10.09973973083496,0.1535860375419561,20.177063752530497,-2.348293791631569,0.16126000147422712,10.635000228881836,False,True,False,False,False,
NYSE:AHR,,https://www.tradingview.com/chart/?symbol=NYSE%3AAHR,False,,-63.264141111702436,-63.264141111702436,53.06999969482422,45.439998626708984,48.36167887878418,0.6163166728447501,30.018799912917842,19.213979440195544,0.24071555501953484,51.43000030517578,False,False,False,False,False,
NYSE:AIG,,https://www.tradingview.com/chart/?symbol=NYSE%3AAIG,False,,-55.85538586683669,-4.850381035327466,75.9800033569336,72.55500030517578,74.58578109741211,0.3980246037903136,-14.026970572502583,-21.050883301640575,0.11247635665458641,76.50499725341797,False,False,False,False,False,
NYSE:AIT,,https://www.tradingview.com/chart/?symbol=NYSE%3AAIT,False,,-43.6777484301282,-43.6777484301282,315.7699890136719,253.00999450683594,278.6962372436523,0.5766261284443902,16.722067427971666,4.116950651608434,0.3446813040613788,315.7699890136719,False,False,False,False,False,
NYSE:AIZ,,https://www.tradingview.com/chart/?symbol=NYSE%3AAIZ,False,,-36.65739814590589,5.53565540434828,286.239990234375,211.61000061035156,232.77683758544921,0.8320883073834073,50.761338475277654,47.796400957325986,0.3460395321493658,259.19000244140625,False,False,False,False,False,
NYSE:AJG,,https://www.tradingview.com/chart/?symbol=NYSE%3AAJG,False,,-65.61608059444048,-29.8230229230392,248.02000427246094,191.99000549316406,210.8794439086914,0.7000250309741625,46.26370494793778,36.30935763094739,0.3625163989312005,220.7899932861328,False,False,False,False,False,
NASDAQ:AKAM,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AAKAM,False,,-21.360639407982024,-21.360639407982024,105.4000015258789,88.8499984741211,106.16767782592774,0.22553834384324578,-42.369973059220136,-45.67657479935156,0.6390315778395559,114.83000183105469,False,True,False,False,False,
TSX:ALA,,https://www.tradingview.com/chart/?symbol=TSX%3AALA,False,,-29.504074072566564,-29.087464159242174,52.189998626708984,46.28499984741211,48.86801977539062,0.5395156641337587,-7.3472095085258715,-14.604361146447056,0.20650942820423054,53.0,False,False,False,False,False,
NASDAQ:ALAB,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AALAB,False,,-53.89010984300396,-53.89010984300396,252.5399932861328,100.2300033569336,191.8027441711426,0.3925311976434099,-14.427315014113786,-24.63549818410857,1.3404964404416435,289.4599914550781,False,False,False,False,False,
NYSE:ALB,,https://www.tradingview.com/chart/?symbol=NYSE%3AALB,True,2026-09-15 09:30,-79.22932618892251,-77.74562323415087,113.44999694824219,113.16999816894531,137.3647191772461,0.002731162384199087,-37.218467417300324,-44.66016846060666,0.6448610330079539,158.97999572753906,False,True,True,False,False,
NASDAQ:ALGN,,https://www.tradingview.com/chart/?symbol=NASDAQ%3AALGN,False,,-69.05115327115738,-54.371028247395856,147.0,147.0,158.5781594238281,0.0,-50.853280035639784,-59.13831248789709,0.2837970668382115,172.8699951171875,False,True,False,False,False,
